Date,Close/Last,Volume,Open,High,Low
12/29/2023,140.93,"14,880,960.00",140.68,141.44,139.90
12/28/2023,141.28,"12,192,550.00",141.85,142.27,140.83
12/27/2023,141.44,"17,288,360.00",142.83,143.32,141.05
12/26/2023,142.82,"11,170,070.00",142.98,143.95,142.50
12/22/2023,142.72,"18,513,520.00",142.13,143.25,142.06
12/21/2023,141.80,"18,101,480.00",140.77,142.03,140.47
12/20/2023,139.66,"33,507,340.00",140.33,143.08,139.41
12/19/2023,138.10,"20,661,000.00",138.00,138.77,137.45
12/18/2023,137.19,"25,699,770.00",133.86,138.38,133.77
12/15/2023,133.84,"58,594,000.00",132.92,134.83,132.63
12/14/2023,133.20,"29,619,100.00",134.77,135.04,131.06
12/13/2023,133.97,"25,414,460.00",134.55,134.78,132.95
12/12/2023,133.64,"26,583,980.00",133.27,134.54,132.83
12/11/2023,134.70,"24,502,860.00",133.82,134.79,132.89
12/8/2023,136.64,"23,016,140.00",135.66,137.99,135.57
12/7/2023,138.45,"38,419,430.00",136.60,140.00,136.23
12/6/2023,131.43,"16,360,650.00",132.90,133.31,131.31
12/5/2023,132.39,"19,235,150.00",130.37,133.54,129.73
12/4/2023,130.63,"24,117,080.00",131.29,131.45,129.40
12/1/2023,133.32,"24,267,990.00",133.32,133.50,132.15
11/30/2023,133.92,"29,913,530.00",136.40,136.96,132.79
11/29/2023,136.40,"21,014,720.00",138.99,139.67,136.30
11/28/2023,138.62,"17,046,870.00",137.63,138.66,137.04
11/27/2023,138.05,"17,886,390.00",137.57,139.63,137.54
11/24/2023,138.22,"8,828,640.00",139.54,139.68,137.47
11/22/2023,140.02,"17,310,210.00",139.10,141.10,139.00
11/21/2023,138.62,"17,648,070.00",137.94,138.97,137.71
11/20/2023,137.92,"19,589,010.00",135.50,138.43,135.49
11/17/2023,136.94,"25,590,190.00",137.82,138.00,135.48
11/16/2023,138.70,"17,615,070.00",136.96,138.88,136.08
11/15/2023,136.38,"15,840,880.00",136.64,136.84,135.33
11/14/2023,135.43,"22,317,350.00",135.65,137.24,135.10
11/13/2023,133.64,"16,409,860.00",133.36,134.11,132.77
11/10/2023,134.06,"20,879,840.00",131.53,134.27,130.87
11/9/2023,131.69,"17,976,530.00",133.36,133.96,131.51
11/8/2023,133.26,"15,093,600.00",132.36,133.54,132.16
11/7/2023,132.40,"19,223,790.00",131.98,133.28,131.14
11/6/2023,131.45,"15,360,360.00",130.22,131.56,129.93
11/3/2023,130.37,"19,529,450.00",129.09,130.73,129.01
11/2/2023,128.58,"24,091,670.00",129.56,130.09,128.11
11/1/2023,127.57,"26,536,600.00",125.34,127.74,124.93
10/31/2023,125.30,"21,123,420.00",126.27,126.56,123.93
10/30/2023,125.75,"24,165,630.00",124.46,126.55,123.88
10/27/2023,123.40,"37,367,670.00",124.03,124.44,121.46
10/26/2023,123.44,"33,907,360.00",124.47,125.46,122.32
10/25/2023,126.67,"58,796,070.00",129.77,130.10,126.09
10/24/2023,140.12,"26,535,200.00",139.16,140.71,138.75
10/23/2023,137.90,"20,780,670.00",136.23,139.02,135.11
10/20/2023,136.74,"24,970,260.00",138.59,139.04,136.25
10/19/2023,138.98,"21,831,180.00",139.80,141.01,138.60
10/18/2023,139.28,"18,304,870.00",140.75,141.99,138.71
10/17/2023,140.99,"17,424,020.00",140.03,141.25,138.53
10/16/2023,140.49,"17,345,560.00",139.73,140.91,139.32
10/13/2023,138.58,"19,447,570.00",140.65,141.34,137.97
10/12/2023,140.29,"18,173,110.00",142.16,142.38,139.45
10/11/2023,141.70,"20,146,340.00",139.85,142.22,139.84
10/10/2023,139.20,"19,554,920.00",139.51,140.74,138.43
10/9/2023,139.50,"16,599,100.00",137.99,139.97,136.70
10/6/2023,138.73,"20,826,680.00",134.94,139.19,134.94
10/5/2023,135.99,"15,922,940.00",136.13,136.50,134.46
10/4/2023,136.27,"22,847,990.00",133.66,136.57,133.43
10/3/2023,133.30,"19,628,740.00",134.93,135.24,132.82
10/2/2023,135.17,"19,210,390.00",132.16,135.36,132.07
9/29/2023,131.85,"23,237,340.00",134.08,134.89,131.32
9/28/2023,133.13,"18,201,390.00",130.69,134.18,130.69
9/27/2023,131.46,"18,764,200.00",129.44,131.72,129.38
9/26/2023,129.45,"20,378,790.00",130.91,131.41,128.19
9/25/2023,132.17,"14,650,030.00",130.77,132.22,130.03
9/22/2023,131.25,"17,355,280.00",131.68,133.01,130.51
9/21/2023,131.36,"22,058,380.00",132.39,133.19,131.09
9/20/2023,134.59,"21,473,530.00",138.83,138.84,134.52
9/19/2023,138.83,"15,484,640.00",138.25,139.18,137.50
9/18/2023,138.96,"16,233,590.00",137.63,139.93,137.63
9/15/2023,138.30,"48,958,840.00",138.80,139.36,137.18
9/14/2023,138.99,"19,064,610.00",138.39,139.55,137.06
9/13/2023,137.50,"16,394,920.00",135.90,137.70,134.93
9/12/2023,136.07,"15,212,930.00",137.13,137.64,135.93
9/11/2023,137.74,"17,180,760.00",137.38,138.26,136.55
9/8/2023,137.20,"17,820,010.00",135.87,137.52,135.87
9/7/2023,136.20,"16,975,960.00",134.60,136.58,133.96
9/6/2023,135.37,"15,814,330.00",137.02,137.48,134.69
9/5/2023,136.71,"17,730,220.00",136.44,137.37,135.56
9/1/2023,136.80,"16,671,650.00",138.43,138.58,135.94
8/31/2023,137.35,"28,147,850.00",137.05,138.40,136.82
8/30/2023,136.93,"21,773,360.00",135.57,137.25,135.02
8/29/2023,135.49,"30,803,270.00",133.00,137.30,132.98
8/28/2023,131.79,"16,715,470.00",132.08,133.24,130.85
8/25/2023,130.69,"20,678,100.00",130.14,131.40,128.04
8/24/2023,130.42,"18,680,380.00",134.73,134.97,130.30
8/23/2023,133.21,"26,497,030.00",130.85,134.07,130.51
8/22/2023,129.69,"15,569,370.00",129.13,130.95,128.93
8/21/2023,128.93,"21,851,070.00",127.85,129.26,127.16
8/18/2023,128.11,"23,627,200.00",129.06,129.83,127.00
8/17/2023,130.46,"23,665,560.00",130.45,132.49,129.85
8/16/2023,129.11,"17,548,360.00",129.28,130.90,128.46
8/15/2023,130.27,"14,769,170.00",131.59,131.99,129.82
8/14/2023,131.83,"17,526,200.00",129.85,131.91,129.59
8/11/2023,130.17,"15,205,470.00",129.20,130.44,128.75
8/10/2023,130.21,"17,855,680.00",131.97,132.65,130.04
8/9/2023,130.15,"17,745,220.00",132.19,132.47,129.51
8/8/2023,131.84,"16,835,950.00",130.98,131.94,130.13
8/7/2023,131.94,"17,621,040.00",129.51,132.06,129.43
8/4/2023,128.54,"20,521,850.00",129.60,131.93,128.32
8/3/2023,128.77,"15,086,130.00",128.37,129.77,127.78
8/2/2023,128.64,"22,705,780.00",129.84,130.42,127.85
8/1/2023,131.89,"22,219,010.00",130.86,132.92,130.75
7/31/2023,133.11,"18,381,890.00",133.01,133.83,132.13
7/28/2023,133.01,"26,971,010.00",130.97,134.07,130.92
7/27/2023,129.87,"35,931,610.00",131.80,133.60,129.18
7/26/2023,129.66,"46,216,900.00",130.36,131.37,128.71
7/25/2023,122.79,"31,820,850.00",121.88,123.69,121.53
7/24/2023,121.88,"22,312,220.00",121.93,123.35,121.38
7/21/2023,120.31,"56,514,650.00",120.87,121.30,119.07
7/20/2023,119.53,"27,541,710.00",122.12,124.70,118.69
7/19/2023,122.78,"22,313,800.00",124.79,125.47,122.47
7/18/2023,124.08,"21,071,250.00",124.91,124.99,123.30
7/17/2023,125.06,"20,675,300.00",126.06,127.28,124.50
7/14/2023,125.70,"20,499,780.00",125.13,127.09,124.90
7/13/2023,124.83,"31,535,850.00",121.54,125.34,121.06
7/12/2023,119.62,"22,059,610.00",119.30,120.96,119.00
7/11/2023,117.71,"18,286,570.00",116.76,118.23,115.83
7/10/2023,116.87,"32,960,080.00",119.07,119.07,116.64
7/7/2023,120.14,"20,997,670.00",120.89,121.75,120.09
7/6/2023,120.93,"17,750,180.00",120.64,121.15,119.25
7/5/2023,122.63,"17,830,350.00",120.06,123.37,120.06
7/3/2023,120.56,"13,871,720.00",120.32,121.02,119.71
6/30/2023,120.97,"23,871,760.00",121.10,122.03,120.88
6/29/2023,120.01,"18,517,460.00",120.09,120.91,119.21
6/28/2023,121.08,"19,753,150.00",117.96,121.27,117.60
6/27/2023,119.01,"27,221,710.00",117.84,119.90,116.91
6/26/2023,119.09,"23,184,960.00",121.47,122.72,118.99
6/23/2023,123.02,"29,573,120.00",122.04,123.44,121.86
6/22/2023,123.87,"20,781,890.00",120.66,123.94,119.60
6/21/2023,121.26,"22,612,000.00",123.24,123.41,120.86
6/20/2023,123.85,"22,698,030.00",123.54,125.18,122.83
6/16/2023,124.06,"56,699,200.00",126.70,126.70,123.79
6/15/2023,125.79,"24,517,070.00",123.88,126.16,123.14
6/14/2023,124.38,"24,659,620.00",123.80,124.79,122.16
6/13/2023,124.43,"19,287,650.00",125.65,125.86,123.85
6/12/2023,124.35,"22,289,630.00",123.40,124.75,122.35
6/9/2023,122.87,"20,313,680.00",122.56,124.29,122.42
6/8/2023,122.67,"24,815,000.00",122.59,123.73,122.01
6/7/2023,122.94,"34,179,350.00",127.58,129.55,122.63
6/6/2023,127.91,"19,450,130.00",126.60,128.88,125.97
6/5/2023,126.63,"22,672,520.00",124.61,127.99,124.38
6/2/2023,125.23,"19,367,450.00",124.49,126.75,124.35
6/1/2023,124.37,"25,017,670.00",123.50,125.04,123.30
5/31/2023,123.37,"41,548,760.00",123.70,124.90,123.10
5/30/2023,124.64,"27,230,730.00",126.29,126.38,122.89
5/26/2023,125.43,"25,169,040.00",124.07,126.00,123.29
5/25/2023,124.35,"33,812,730.00",125.21,125.98,122.90
5/24/2023,121.64,"23,087,930.00",121.88,122.75,120.75
5/23/2023,123.29,"24,477,950.00",124.93,125.42,123.05
5/22/2023,125.87,"29,760,240.00",123.51,127.05,123.45
5/19/2023,123.25,"30,268,860.00",124.20,126.48,122.72
5/18/2023,123.52,"27,014,470.00",121.56,123.90,121.49
5/17/2023,121.48,"26,659,560.00",120.18,122.28,119.46
5/16/2023,120.09,"32,370,110.00",116.83,121.20,116.83
5/15/2023,116.96,"22,107,870.00",116.49,118.80,116.48
5/12/2023,117.92,"31,293,780.00",117.00,118.26,116.55
5/11/2023,116.90,"57,115,080.00",115.86,118.44,114.93
5/10/2023,112.28,"47,533,460.00",108.55,113.51,108.48
5/9/2023,107.94,"24,782,440.00",108.78,110.60,107.73
5/8/2023,108.24,"17,266,020.00",105.80,108.42,105.79
5/5/2023,106.22,"20,710,630.00",105.32,106.44,104.74
5/4/2023,105.21,"19,780,640.00",106.16,106.30,104.70
5/3/2023,106.12,"17,116,330.00",106.22,108.13,105.62
5/2/2023,105.98,"20,343,120.00",107.66,107.73,104.50
5/1/2023,107.71,"20,926,260.00",107.72,108.68,107.50
4/28/2023,108.22,"23,957,870.00",107.80,108.29,106.04
4/27/2023,108.37,"38,235,220.00",105.23,109.15,104.42
4/26/2023,104.45,"37,068,170.00",105.56,107.02,103.27
4/25/2023,104.61,"31,408,120.00",106.61,107.44,104.56
4/24/2023,106.78,"21,410,910.00",106.05,107.32,105.36
4/21/2023,105.91,"22,379,020.00",106.09,106.64,105.49
4/20/2023,105.90,"22,515,330.00",104.65,106.89,104.64
4/19/2023,105.02,"16,732,020.00",104.22,105.73,103.80
4/18/2023,105.12,"17,641,370.00",107.00,107.05,104.78
4/17/2023,106.42,"29,043,440.00",105.43,106.71,105.32
4/14/2023,109.46,"20,758,690.00",107.69,109.58,107.59
4/13/2023,108.19,"21,650,750.00",106.47,108.27,106.44
4/12/2023,105.22,"22,761,570.00",107.39,107.59,104.97
4/11/2023,106.12,"18,721,280.00",106.92,107.22,105.28
4/10/2023,106.95,"19,741,520.00",107.39,107.97,105.60
4/6/2023,108.90,"34,684,150.00",105.77,109.63,104.82
4/5/2023,104.95,"21,864,200.00",106.12,106.54,104.10
4/4/2023,105.12,"20,377,230.00",104.84,106.10,104.60
4/3/2023,104.91,"20,719,860.00",102.67,104.95,102.38
3/31/2023,104.00,"28,107,950.00",101.71,104.19,101.44
3/30/2023,101.32,"25,009,830.00",101.44,101.61,100.29
3/29/2023,101.90,"26,148,300.00",102.72,102.82,101.03
3/28/2023,101.36,"24,913,480.00",103.00,103.00,100.28
3/27/2023,103.06,"25,393,420.00",105.32,105.40,102.63
3/24/2023,106.06,"25,245,010.00",105.74,106.16,104.74
3/23/2023,106.26,"31,385,820.00",105.89,107.10,105.41
3/22/2023,104.22,"32,336,880.00",105.14,107.51,104.21
3/21/2023,105.84,"33,122,800.00",101.98,105.96,101.86
3/20/2023,101.93,"26,033,920.00",101.06,102.58,100.79
3/17/2023,102.46,"76,140,310.00",100.84,103.49,100.75
3/16/2023,101.07,"54,588,200.00",96.57,101.97,95.87
3/15/2023,96.55,"38,367,330.00",93.54,97.25,93.04
3/14/2023,94.25,"32,303,880.00",93.07,94.83,92.78
3/13/2023,91.66,"31,508,570.00",90.57,93.08,89.94
3/10/2023,91.01,"32,850,090.00",92.50,93.18,90.80
3/9/2023,92.66,"24,438,890.00",94.49,95.92,92.36
3/8/2023,94.65,"25,395,200.00",94.41,96.24,94.41
3/7/2023,94.17,"24,101,540.00",95.42,96.09,93.84
3/6/2023,95.58,"28,288,210.00",94.36,96.30,94.30
3/3/2023,94.02,"30,242,540.00",92.74,94.11,92.66
3/2/2023,92.31,"23,344,560.00",89.86,92.48,89.77
3/1/2023,90.51,"26,323,880.00",90.16,91.20,89.85
2/28/2023,90.30,"30,546,910.00",89.54,91.45,89.52
2/27/2023,90.10,"22,724,260.00",90.09,90.45,89.61
2/24/2023,89.35,"31,295,620.00",89.63,90.13,88.86
2/23/2023,91.07,"32,423,720.00",92.13,92.13,90.01
2/22/2023,91.80,"29,891,140.00",91.93,92.36,90.87
2/21/2023,92.05,"28,367,200.00",93.24,93.41,92.00
2/17/2023,94.59,"31,095,070.00",95.07,95.75,93.45
2/16/2023,95.78,"35,642,110.00",95.54,97.88,94.97
2/15/2023,97.10,"37,029,890.00",94.74,97.34,94.36
2/14/2023,94.95,"42,513,080.00",94.66,95.18,92.65
2/13/2023,95.00,"43,116,560.00",95.01,95.35,94.05
2/10/2023,94.86,"49,325,280.00",95.74,97.02,94.53
2/9/2023,95.46,"97,798,570.00",100.54,100.61,93.86
2/8/2023,100.00,"73,546,030.00",102.69,103.58,98.46
2/7/2023,108.04,"33,738,830.00",103.63,108.67,103.55
2/6/2023,103.47,"25,573,050.00",102.69,104.70,102.21
2/3/2023,105.22,"36,823,420.00",103.51,108.02,103.30
2/2/2023,108.80,"46,622,630.00",106.79,108.82,106.54
2/1/2023,101.43,"26,392,570.00",99.74,102.19,98.42
1/31/2023,99.87,"22,306,780.00",97.86,99.91,97.79
1/30/2023,97.95,"24,365,140.00",98.75,99.41,97.52
1/27/2023,100.71,"29,020,350.00",99.05,101.58,98.97
1/26/2023,99.16,"24,542,060.00",98.28,99.21,96.82
1/25/2023,96.73,"31,000,850.00",97.20,97.72,95.26
1/24/2023,99.21,"27,391,370.00",99.55,101.09,98.70
1/23/2023,101.21,"31,791,780.00",99.13,101.40,98.75
1/20/2023,99.28,"53,704,760.00",95.95,99.42,95.91
1/19/2023,93.91,"28,707,650.00",91.39,94.40,91.38
1/18/2023,91.78,"19,641,620.00",92.94,93.59,91.40
1/17/2023,92.16,"22,935,820.00",92.78,92.97,90.84
1/13/2023,92.80,"18,630,710.00",91.53,92.98,90.93
1/12/2023,91.91,"22,754,220.00",92.40,92.62,90.57
1/11/2023,92.26,"25,998,840.00",90.06,92.45,89.74
1/10/2023,89.24,"22,855,590.00",86.72,89.48,86.70
1/9/2023,88.80,"22,996,680.00",89.20,90.83,88.58
1/6/2023,88.16,"26,612,630.00",87.36,88.47,85.57
1/5/2023,86.77,"23,136,080.00",88.07,88.21,86.56
1/4/2023,88.71,"27,046,480.00",91.01,91.24,87.80
